Tutorial Group,Student ID,Name,School,Gender,CGPA,Team Assigned
G-120,4882,Charlotte Alexander,CoB (NBS),Female,4.14,Team 2
G-120,2703,Ravi Gupta,MAE,Male,04.03,Team 2
G-120,390,Sneha Chakraborty,ASE,Female,4.2,Team 2
G-120,1957,Yani Santoso,CCDS,Female,4.2,Team 3
G-120,5220,Rishi Singh,CoB (NBS),Male,04.08,Team 3
G-120,2553,Lucas Gonzalez,CoE,Male,04.08,Team 3
G-120,2805,Nolan Foster,EEE,Male,4.14,Team 3
G-120,2004,Rachel Yeo,CCEB,Female,4.25,Team 3
G-120,4611,Sophia White,SBS,Female,04.02,Team 4
G-120,822,Riku Tanaka,CCEB,Female,04.03,Team 4
G-120,3222,Kang Lei,CCDS,Female,04.04,Team 4
G-120,1256,Omar Chen,CoB (NBS),Male,4.14,Team 4
G-120,4070,John Walker,MAE,Male,4.26,Team 4
G-120,4719,Jackson Moore,CoB (NBS),Male,4.11,Team 5
G-120,1182,Jessica Lee,CCEB,Female,4.1,Team 5
G-120,2696,Samantha Cooper,CCDS,Female,04.03,Team 5
G-120,2507,Yani Rahmadani,SSS,Female,4,Team 5
G-120,3187,Fauzi Bin Zain,MAE,Male,4.52,Team 5
G-120,3175,Christopher Harris,WKW SCI,Male,04.02,Team 6
G-120,3840,Giselle Bautista,CCDS,Female,04.04,Team 6
G-120,2685,Oliver Wu,MAE,Male,04.08,Team 6
G-120,2420,Faisal Bin Yusof,CEE,Male,4.57,Team 6
G-120,2008,Jasmine Khan,CoB (NBS),Female,4.1,Team 6
G-120,2769,Jayden Clark,WKW SCI,Male,4.2,Team 7
G-120,2945,Yasir Shah,NIE,Male,3.95,Team 7
G-120,5006,Dong-Il Kim,CCDS,Male,4.1,Team 7
G-120,92,Victoria Choi,CEE,Female,4.14,Team 7
G-120,1317,Tina Sun,MAE,Female,4,Team 7
G-120,4631,Samantha Patel,EEE,Female,4,Team 8
G-120,1475,Deng Li,CEE,Male,4.2,Team 8
G-120,116,Ava Rodriguez,SoH,Female,04.04,Team 8
G-120,5148,Isaac Wu,CoB (NBS),Male,4.1,Team 8
G-120,5563,Ruiwen,MSE,Male,4.15,Team 8
G-120,3859,Kai Wei,CoE,Male,04.01,Team 9
G-120,3229,Victor Andreyev,EEE,Male,04.08,Team 9
G-120,775,Ashok Patil,CCDS,Male,4.23,Team 9
G-120,1568,Briar Young,MAE,Female,4.1,Team 9
G-120,3174,Yan Li,CCEB,Female,4.18,Team 9
G-120,5835,Samuel Cook,MAE,Male,04.02,Team 10
G-120,1856,Derek Tan,CCDS,Male,04.04,Team 10
G-120,3750,Janelle Huang,CoB (NBS),Female,4.12,Team 10
G-120,5908,Taro Suzuki,CCEB,Male,4.16,Team 10
G-120,350,Janet Ng,EEE,Female,4.15,Team 10
G-13,4909,Kaori Nakajima,SBS,Female,4.18,Team 1
G-13,4840,Wenkai,SPMS,Male,4,Team 1
G-13,3476,Su Ling,SSS,Female,4,Team 1
G-13,1855,Diya Mukherjee,SoH,Female,4.14,Team 1
G-13,619,Kieran Kim,NIE,Male,3.9,Team 1
G-13,1527,Nina Tan,NIE,Female,04.05,Team 2
G-13,4319,Fang Hong,ASE,Female,4.11,Team 2
G-13,1422,Jackie Robinson,CEE,Male,4.11,Team 2
G-13,2142,Wyatt Ward,CoB (NBS),Male,4.17,Team 2
G-13,484,Jia Li,SoH,Male,3.86,Team 2
G-13,5398,Svetlana Egorova,MAE,Female,3.87,Team 3
G-13,4676,Lucas Peterson,CCDS,Male,4.15,Team 3
G-13,2068,Yara Ross,EEE,Female,04.06,Team 3
G-13,2243,Huiqin,SoH,Female,4.15,Team 3
G-13,378,Ryan Edwards,SSS,Male,04.06,Team 3
G-13,4211,Lydia Patterson,EEE,Female,3.94,Team 4
G-13,1171,Eli Chen,SSS,Male,4.14,Team 4
G-13,2583,Boris Volkov,CoB (NBS),Male,4.12,Team 4
G-13,5722,Lila Reed,CEE,Female,4.14,Team 4
G-13,2853,Evelyn Robinson,SPMS,Female,3.94,Team 4
G-13,1616,Hussain Bin Mohd,CoE,Male,3.92,Team 5
G-13,4534,Meiling,SBS,Female,4.25,Team 5
G-13,1524,Dustin Zhao,CEE,Male,04.08,Team 5
G-13,5517,Olivia Allen,SSS,Female,4.12,Team 5
G-13,5998,Leila Shah,EEE,Female,3.94,Team 5
G-13,537,Kiran Patel,EEE,Female,3.87,Team 6
G-13,1239,Arnav Yadav,MAE,Male,04.01,Team 6
G-13,5952,Lola Wong,SoH,Female,4.11,Team 6
G-13,1501,Paul Kim,NIE,Male,04.04,Team 6
G-13,1840,Nora Bell,CCDS,Female,4.26,Team 6
G-13,2704,Rahul Joshi,EEE,Male,3.88,Team 7
G-13,3502,Aiko Watanabe,CoB (NBS),Female,04.01,Team 7
G-13,5986,Colton Roberts,WKW SCI,Male,4.2,Team 7
G-13,4054,Anthony Morgan,CEE,Male,4.17,Team 7
G-13,4256,Ling Zhang,CCDS,Female,04.08,Team 7
G-13,5189,Denny Saputra,SBS,Male,3.9,Team 8
G-13,2260,Yun Li,CCEB,Female,3.97,Team 8
G-13,2452,Vivek Sethi,CCDS,Male,4.11,Team 8
G-13,5847,Qori Amalia,CEE,Female,4.15,Team 8
G-13,3467,Meena Iyer,CoB (NBS),Female,4.19,Team 8
G-13,1047,Zara Wang,CCDS,Female,04.04,Team 9
G-13,4076,Wahyu Prabowo,EEE,Male,3.95,Team 9
G-13,1078,Alyssa Garcia,CoB (NBS),Female,4,Team 9
G-13,3935,Tasneem Javed,SSS,Female,4.2,Team 9
G-13,5394,Harish Rao,SoH,Male,4.21,Team 9
G-13,5161,Shun Takahashi,EEE,Male,4.12,Team 10
G-13,2845,Hendrik Surya,CEE,Male,4,Team 10
G-13,4911,Zara Ho,SoH,Female,04.05,Team 10
G-13,3689,Ruiwen,CCDS,Female,3.95,Team 10
G-13,3074,Emily Chua,CCEB,Female,4.3,Team 10
G-14,839,Jing Yi,NIE,Female,3.89,Team 1
G-14,666,Hugo Huang,CEE,Male,04.02,Team 1
G-14,4329,Jenna Wong,CCEB,Female,4.12,Team 1
G-14,1324,Yusuf Bin Sulaiman,CoE,Male,4.22,Team 1
G-14,5443,Madiha Qureshi,CCDS,Female,4.1,Team 1
G-14,806,Samuel Torres,SPMS,Male,3.9,Team 2
G-14,2,Rabia Noor,CCEB,Female,04.02,Team 2
G-14,1425,Fatimah Rahman,SSS,Female,4.14,Team 2
G-14,110,Winston Yang,MAE,Male,4.12,Team 2
G-14,2074,Talia Chang,NIE,Female,4.18,Team 2
G-14,2590,Steve Lau,SPMS,Male,04.01,Team 3
G-14,5004,Riya Yadav,ADM,Female,04.03,Team 3
G-14,1416,Henry Morales,NIE,Male,04.02,Team 3
G-14,5071,Sophie Liao,CEE,Female,4.25,Team 3
G-14,3301,Anita Clarke,MSE,Female,4.1,Team 3
G-14,128,Kai Wong,LKCMedicine,Male,3.96,Team 4
G-14,3423,Quinn Dela Cruz,CoB (NBS),Female,04.01,Team 4
G-14,3127,Ashraff Bin Mohd,CCDS,Male,04.05,Team 4
G-14,1165,Xander Wong,EEE,Male,4.1,Team 4
G-14,5338,Aiko Kimura,CCEB,Female,4.25,Team 4
G-14,2319,Linda Wong,SSS,Female,4.11,Team 5
G-14,1491,Shahid Malik,CoB (NBS),Male,3.9,Team 5
G-14,5152,Liang Hong,CEE,Male,04.05,Team 5
G-14,1698,Hana Yamamoto,CCEB,Female,4.14,Team 5
G-14,3722,Xyla Cruz,CCDS,Female,4.14,Team 5
G-14,3334,Siti Aisyah,SSS,Female,3.9,Team 6
G-14,2070,Veera Kumar,CCDS,Female,04.02,Team 6
G-14,2710,Riley Kim,ASE,Male,4.2,Team 6
G-14,5683,Samuel Morgan,EEE,Male,4.15,Team 6
G-14,1464,Zhou Min,CoE,Male,4.15,Team 6
G-14,290,Diana Kwan,MAE,Female,04.09,Team 7
G-14,259,Hao Xiang Tan,CCEB,Male,04.05,Team 7
G-14,664,Hui Yao Tan,SSS,Female,4.1,Team 7
G-14,5118,Rizal Ramadhan,CoE,Male,3.92,Team 7
G-14,5173,Tian Wang,CoB (NBS),Male,4.3,Team 7
G-14,2563,Dylan Adams,ASE,Male,3.87,Team 8
G-14,5400,Shamita Rani,SBS,Female,04.04,Team 8
G-14,3114,Yvonne Ko,EEE,Female,4.14,Team 8
G-14,4775,Emily Harris,CoB (NBS),Female,4.15,Team 8
G-14,1788,Brendan James,NIE,Male,4.2,Team 8
G-14,5711,Eko Prasetyo,SPMS,Male,3.8,Team 9
G-14,1407,Freddie Wong,CoB (NBS),Male,04.08,Team 9
G-14,677,Stella Green,SBS,Female,4.11,Team 9
G-14,1117,Sanjana Mehta,ASE,Female,04.08,Team 9
G-14,2014,Chloe Ng,SSS,Female,4.21,Team 9
G-14,3424,Min-Jae Park,EEE,Male,4.14,Team 10
G-14,2880,Carmen Lee,SSS,Female,3.96,Team 10
G-14,1747,Chandra Widyanto,ADM,Male,4.52,Team 10
G-14,2714,Henry King,SPMS,Male,04.04,Team 10
G-14,3609,Sharifah Ali,CoB (NBS),Female,3.8,Team 10
G-15,4835,Shaima Binti Rahman,EEE,Female,4,Team 1
G-15,5501,Lily Ng,SSS,Female,3.93,Team 1
G-15,1151,Truong Van Hoang,CCDS,Male,4.21,Team 1
G-15,4262,Aaron Taylor,CEE,Male,4.15,Team 1
G-15,4920,Brendan James,CoB (NBS),Male,4.15,Team 1
G-15,5728,Sania Noor,CoB (NBS),Female,3.88,Team 2
G-15,317,Soren Wu,CCDS,Male,04.02,Team 2
G-15,1897,Andrew Clark,EEE,Male,04.08,Team 2
G-15,3352,Tyler Johnson,CEE,Male,4.2,Team 2
G-15,5948,Neelam Patel,MSE,Female,04.03,Team 2
G-15,1102,Shanaz Iqbal,CCDS,Female,4.12,Team 3
G-15,4265,Mira Sulaiman,CCEB,Female,3.91,Team 3
G-15,2815,Aditi Bhat,CoB (NBS),Male,4.11,Team 3
G-15,1569,Xiangqi,SSS,Male,04.01,Team 3
G-15,3968,Hani Susanti,MAE,Female,4.15,Team 3
G-15,3380,Isabella Wilson,CCEB,Female,04.03,Team 4
G-15,5181,Isaac Tan,CCDS,Male,3.92,Team 4
G-15,3072,Isha Tan,LKCMedicine,Female,04.03,Team 4
G-15,1315,Warner Ng,CEE,Male,4.1,Team 4
G-15,894,Derek Tan,NIE,Male,4.3,Team 4
G-15,4908,Zachary Garcia,MAE,Male,3.91,Team 5
G-15,898,Victoria Wang,ASE,Female,4.14,Team 5
G-15,4782,Zachary Walker,CCDS,Male,04.01,Team 5
G-15,4856,Sung-Min Yoo,EEE,Male,4.13,Team 5
G-15,1350,Nguyen Thi Thuy,SSS,Female,4.13,Team 5
G-15,2910,Azhar Khan,CCDS,Male,3.87,Team 6
G-15,642,Wu Bin,MAE,Male,04.06,Team 6
G-15,5141,Soniya Malik,SPMS,Female,04.03,Team 6
G-15,1626,Yun Zhang,CoB (NBS),Male,04.09,Team 6
G-15,5276,Meenakshi Iyer,MSE,Female,04.06,Team 6
G-15,968,Seng Wei Lim,CoB (NBS),Male,4,Team 7
G-15,219,Dominic Yang,MAE,Male,4,Team 7
G-15,4868,Zoe Lin,SoH,Female,4,Team 7
G-15,3621,Saki Watanabe,SSS,Female,4.15,Team 7
G-15,1806,Leo Cooper,CCDS,Male,4.17,Team 7
G-15,54,Levi Price,CCDS,Male,04.02,Team 8
G-15,1411,Rory Hughes,EEE,Male,04.09,Team 8
G-15,2367,Deepika Singh,SoH,Female,4.14,Team 8
G-15,2045,Zoe Lim,CCEB,Female,3.89,Team 8
G-15,299,Siddharth Iyer,CoB (NBS),Male,4.22,Team 8
G-15,4090,Caleb Hughes,ASE,Male,4.13,Team 9
G-15,3089,Felicity Morgan,CCDS,Female,04.01,Team 9
G-15,577,Beckett Lee,MSE,Male,04.05,Team 9
G-15,1506,Noor Rani,EEE,Female,3.91,Team 9
G-15,3369,Haroon Qureshi,CEE,Male,4.19,Team 9
G-15,4561,Zahra Khan,CCDS,Female,3.95,Team 10
G-15,1034,Samantha Wu,CoB (NBS),Female,04.01,Team 10
G-15,1181,Jayden Lee,EEE,Male,04.08,Team 10
G-15,450,Hassan Bin Yusof,MAE,Male,04.01,Team 10
G-15,2524,Zhao Li,SPMS,Male,4.2,Team 10
G-16,471,Wesley Villanueva,CoB (NBS),Male,3.89,Team 1
G-16,4058,Jane Lee,SoH,Female,4.17,Team 1
G-16,4365,Mabel Turner,SBS,Female,4.12,Team 1
G-16,4871,Ivan Wong,WKW SCI,Male,04.08,Team 1
G-16,5429,Chloe Green,CCEB,Female,4.14,Team 1
G-16,100,Lydia Chen,CCEB,Female,4,Team 2
G-16,3264,Naina Mehta,SSS,Female,04.02,Team 2
G-16,5380,Derek Bautista,CoB (NBS),Male,4.14,Team 2
G-16,3018,Derek Hill,MAE,Male,04.09,Team 2
G-16,1949,Lihua,EEE,Female,4.2,Team 2
G-16,1300,Jeremiah Santos,SoH,Male,4,Team 3
G-16,1480,Ritika Singh,CoB (NBS),Female,04.01,Team 3
G-16,5691,Wei Jie,CCDS,Male,04.06,Team 3
G-16,5508,Anita Patel,SBS,Female,4.2,Team 3
G-16,3975,Albert Yip,EEE,Male,04.05,Team 3
G-16,3791,Soo-Min Park,SBS,Female,04.03,Team 4
G-16,3046,Ursula Cruz,MAE,Female,04.01,Team 4
G-16,673,Liam Reddy,CoB (NBS),Male,4.22,Team 4
G-16,4750,Tristan Lim,ASE,Male,4.1,Team 4
G-16,522,Mia Clark,SSS,Female,04.03,Team 4
G-16,4212,Nazia Nadeem,CCEB,Female,4,Team 5
G-16,5183,Hiroshi Yamashita,LKCMedicine,Male,3.94,Team 5
G-16,533,Sanjana Gupta,EEE,Female,4.14,Team 5
G-16,302,Kathy Yip,CCDS,Female,4.19,Team 5
G-16,4806,Dylan Lewis,CoB (NBS),Male,4.15,Team 5
G-16,189,Geeta Reddy,MAE,Female,4.1,Team 6
G-16,4469,Nitin Kumar,SoH,Male,3.85,Team 6
G-16,4148,Liam Hughes,CEE,Male,4.15,Team 6
G-16,2030,Maya Alexander,ASE,Female,4.1,Team 6
G-16,3703,Maya Tan,SSS,Female,4.12,Team 6
G-16,3995,Caleb Yang,EEE,Male,3.89,Team 7
G-16,2569,Henry Cheung,MAE,Male,4.11,Team 7
G-16,5902,Sylvia Tan,CEE,Female,4.1,Team 7
G-16,80,Shu Fang,CCEB,Female,4.1,Team 7
G-16,5520,Shuqi,ADM,Male,4.2,Team 7
G-16,1175,Aishwarya Nair,CCEB,Female,3.9,Team 8
G-16,3868,Eva Cooper,SSS,Female,04.05,Team 8
G-16,1111,Khalid Malik,CCDS,Male,04.04,Team 8
G-16,2087,William Li,MAE,Male,4.2,Team 8
G-16,1344,Xiuqin,CEE,Male,4.15,Team 8
G-16,2307,Sophia Davis,MAE,Female,3.88,Team 9
G-16,3361,Chen Wang,CoB (NBS),Male,04.02,Team 9
G-16,5365,Durga Sharma,EEE,Female,4.14,Team 9
G-16,4673,Usman Iqbal,SBS,Male,04.02,Team 9
G-16,3090,Samara Chang,WKW SCI,Female,4.2,Team 9
G-16,1560,Noor Jahan,CoB (NBS),Female,3.95,Team 10
G-16,2050,Tyson Scott,SPMS,Male,04.06,Team 10
G-16,5922,Ami Mori,SBS,Female,04.03,Team 10
G-16,5277,Zhen Li,MAE,Male,04.01,Team 10
G-16,4195,Lydia Yip,EEE,Female,4.48,Team 10
G-17,1982,Wang Feng,SPMS,Male,3.87,Team 1
G-17,1872,Maya Binti Azman,SSS,Female,04.05,Team 1
G-17,1781,Wawan Kurniawan,CEE,Male,4.15,Team 1
G-17,5875,Maya Johnson,CCDS,Female,4.14,Team 1
G-17,3521,Kenny Lim,MAE,Male,4.16,Team 1
G-17,5557,Sana Johar,CCDS,Female,04.02,Team 2
G-17,5523,Violet Zhou,EEE,Female,04.04,Team 2
G-17,5325,Mohammed Ali,CoE,Male,4.11,Team 2
G-17,166,Nash Reddy,MAE,Male,04.08,Team 2
G-17,4231,Geeta Kaur,ASE,Female,4.18,Team 2
G-17,2914,Anya Mohd,CoB (NBS),Female,4.12,Team 3
G-17,3792,Huifen,SBS,Female,4,Team 3
G-17,949,Evan Thomas,LKCMedicine,Male,04.09,Team 3
G-17,4886,Edison Raka,MAE,Male,4.2,Team 3
G-17,4801,Sofia Lee,SSS,Female,04.02,Team 3
G-17,3780,Yuna Tan,CoB (NBS),Female,3.89,Team 4
G-17,411,Aleksei Koval,SoH,Female,3.9,Team 4
G-17,638,Rui Jin Tan,LKCMedicine,Male,04.05,Team 4
G-17,1914,George Wilson,EEE,Male,4.15,Team 4
G-17,4215,Aaron Lee,MAE,Male,4.52,Team 4
G-17,5815,Toshiro Takashima,CCDS,Male,3.9,Team 5
G-17,1812,Zain Ali,CoB (NBS),Female,4.11,Team 5
G-17,4910,Gwen Lee,EEE,Female,4.18,Team 5
G-17,1903,Joshua Thomas,MAE,Male,04.05,Team 5
G-17,5607,Ritika Ali,CCEB,Female,4.18,Team 5
G-17,2101,James Tan,ASE,Male,04.06,Team 6
G-17,3243,Tina Lim,SSS,Female,04.01,Team 6
G-17,993,Reza Khan,CEE,Male,04.02,Team 6
G-17,3097,Kenta Takahashi,EEE,Male,4.17,Team 6
G-17,2138,Zulaikha Binti Mohd,MAE,Female,4.25,Team 6
G-17,322,Vinay Nair,SSS,Male,4.1,Team 7
G-17,4505,Sadia Bukhari,MAE,Female,3.91,Team 7
G-17,4930,Zara Mitchell,SBS,Female,04.09,Team 7
G-17,1652,Angela Zhang,CCEB,Female,04.08,Team 7
G-17,5609,Minh Dao,SPMS,Male,4.27,Team 7
G-17,2037,Peiyu,CoB (NBS),Female,3.9,Team 8
G-17,3303,Xiao Yu,SPMS,Male,4.1,Team 8
G-17,5707,Jin Ho,CoE,Male,4.12,Team 8
G-17,5204,Diyana Binti Kamar,SBS,Female,4.1,Team 8
G-17,3316,Uriah Ramos,SSS,Male,4.22,Team 8
G-17,4292,Manish Joshi,MSE,Male,4.19,Team 9
G-17,1851,Nicolette Cruz,SSS,Female,04.04,Team 9
G-17,4585,Scarlett Tan,CoB (NBS),Female,4.12,Team 9
G-17,3818,Harrison Mendoza,SoH,Male,3.9,Team 9
G-17,520,Jia Ming,SPMS,Male,4.17,Team 9
G-17,2810,Janet Wong,EEE,Female,3.96,Team 10
G-17,3434,Siti Amani,CCEB,Female,04.06,Team 10
G-17,5495,Meher Awan,CCDS,Female,04.09,Team 10
G-17,2321,Anil Mehta,MAE,Male,04.01,Team 10
G-17,2887,Rohan Kumar,CoE,Male,4.3,Team 10
G-18,4383,Derek White,WKW SCI,Male,3.87,Team 1
G-18,4244,Shreya Das,ASE,Female,04.05,Team 1
G-18,5566,Paxton Ross,CoB (NBS),Male,4.12,Team 1
G-18,1277,Zara Lim,SSS,Female,4.15,Team 1
G-18,1983,Layla Harris,MSE,Female,4.17,Team 1
G-18,5185,Fang Mei,MAE,Female,3.97,Team 2
G-18,2266,Harlan Perdana,SPMS,Male,4,Team 2
G-18,1227,Samantha Tan,CoB (NBS),Female,4.14,Team 2
G-18,3056,Brayden Hall,EEE,Male,04.04,Team 2
G-18,589,Sophia Thomas,SSS,Female,4.17,Team 2
G-18,4751,Shuang,CEE,Female,3.9,Team 3
G-18,4647,Ayushi Gupta,SBS,Female,04.01,Team 3
G-18,4422,Uday Singh,MAE,Male,4.12,Team 3
G-18,3288,Jonathan Sun,CCEB,Male,4.15,Team 3
G-18,851,Min Li,CoB (NBS),Female,4.18,Team 3
G-18,3688,Lucas Wright,SoH,Male,3.9,Team 4
G-18,877,Xiu Zhang,MAE,Female,4.15,Team 4
G-18,4003,Megan Lim,CoB (NBS),Female,04.07,Team 4
G-18,4537,Fang Ling,ADM,Female,4.22,Team 4
G-18,4259,Liu Wei,ASE,Female,04.02,Team 4
G-18,37,Citra Amara,MSE,Female,3.9,Team 5
G-18,1507,Adrian Lim,EEE,Male,04.01,Team 5
G-18,2214,Chloe Chen,CoB (NBS),Female,4.1,Team 5
G-18,3847,Dylan Parker,MAE,Male,4.14,Team 5
G-18,4921,Athena Zhao,SBS,Female,4.17,Team 5
G-18,4549,Isabella Lee,CCDS,Female,3.9,Team 6
G-18,1775,Kelly Tsang,CoE,Male,04.04,Team 6
G-18,5297,Shahida Khan,CoB (NBS),Female,4.1,Team 6
G-18,1132,Jawad Khan,WKW SCI,Male,4.14,Team 6
G-18,907,Maya Rani,EEE,Female,4.18,Team 6
G-18,4264,Hao Liang Lim,CoE,Male,3.85,Team 7
G-18,5826,Sana Reddy,CCEB,Female,4.2,Team 7
G-18,5356,Arjun Rao,SPMS,Male,4.14,Team 7
G-18,5919,Shan Binti,CCDS,Female,4.14,Team 7
G-18,79,Suhana Rao,CoB (NBS),Female,04.02,Team 7
G-18,1301,Mira Binti Yusof,MAE,Female,3.9,Team 8
G-18,1269,Luca Wong,SoH,Male,04.01,Team 8
G-18,5751,Kinsley Tsai,SSS,Female,4.12,Team 8
G-18,4155,Mohan Rao,CoB (NBS),Male,4.15,Team 8
G-18,5505,Tessa Lee,MSE,Female,4.16,Team 8
G-18,3253,Yasmin Lee,SBS,Female,04.05,Team 9
G-18,3255,Tyler Garcia,CCEB,Male,3.92,Team 9
G-18,4143,Lila Tan,SSS,Female,4.1,Team 9
G-18,2076,Ella Villanueva,MAE,Female,4.18,Team 9
G-18,2066,Jackson Clark,EEE,Male,4.13,Team 9
G-18,2736,Rita Sharma,CoB (NBS),Female,3.89,Team 10
G-18,5268,Amina Tariq,SSS,Female,4,Team 10
G-18,3260,Yuying Wang,CCEB,Female,04.09,Team 10
G-18,262,Bilal Ahmed,CCDS,Male,4.19,Team 10
G-18,205,Pandu Setiawan,SPMS,Male,4.2,Team 10
G-19,4684,Alyssa Ramirez,EEE,Female,4,Team 1
G-19,4786,Priti Mehta,MAE,Female,04.02,Team 1
G-19,3177,Zhou Rui,CoB (NBS),Male,04.03,Team 1
G-19,5769,Tristan Castillo,SSS,Male,4.14,Team 1
G-19,3993,Lucas Green,CCDS,Male,4.18,Team 1
G-19,3510,Gavin Zhao,LKCMedicine,Male,04.01,Team 2
G-19,1229,Chen Bo,NIE,Male,04.03,Team 2
G-19,3375,Emily White,CoB (NBS),Female,4.18,Team 2
G-19,3574,Violeta Ong,SSS,Female,4,Team 2
G-19,465,Ananya Kaul,CoE,Female,4.18,Team 2
G-19,5635,Sneha Joshi,EEE,Female,04.03,Team 3
G-19,3632,Nina Hu,CCDS,Female,4.14,Team 3
G-19,1761,Ava Wilson,CoB (NBS),Female,4.1,Team 3
G-19,5773,Imran Waseem,ASE,Male,4.17,Team 3
G-19,4341,Amite Agarwal,CoE,Male,04.03,Team 3
G-19,1874,An Nguyen,MAE,Male,3.88,Team 4
G-19,966,Christopher Morris,CoB (NBS),Male,4.15,Team 4
G-19,4380,Qianwen,CCDS,Female,04.05,Team 4
G-19,1632,Matthew Lee,SBS,Male,04.08,Team 4
G-19,3889,Sasha Tan,SSS,Female,4.2,Team 4
G-19,1686,Kendrick Scott,MAE,Male,3.89,Team 5
G-19,1169,Sushmita Roy,CoB (NBS),Female,4.12,Team 5
G-19,2504,Shanaya Tan,EEE,Female,04.06,Team 5
G-19,1520,Rohan Gupta,MSE,Male,4.11,Team 5
G-19,4504,Nina Desai,SBS,Female,4.19,Team 5
G-19,5255,Chen Yu,SBS,Male,3.94,Team 6
G-19,49,Whitney Alvarado,CCDS,Female,4.18,Team 6
G-19,3430,Mason Wilson,EEE,Male,04.07,Team 6
G-19,2490,Chunxiu,CoE,Female,04.05,Team 6
G-19,3120,Ella Mitchell,CoB (NBS),Female,4.12,Team 6
G-19,2812,Arunachalam Devi,CCEB,Female,04.01,Team 7
G-19,5064,Jaxon White,CoB (NBS),Male,04.03,Team 7
G-19,1829,Zachary Li,CoE,Male,04.05,Team 7
G-19,671,Miyuki Watanabe,ADM,Female,04.01,Team 7
G-19,4669,Nguyen Thi Lan,SSS,Female,4.19,Team 7
G-19,4511,Mi-Sook Kim,SSS,Female,3.85,Team 8
G-19,3314,Jessica Martinez,CoB (NBS),Female,4.11,Team 8
G-19,2386,Arvind Reddy,SPMS,Male,04.08,Team 8
G-19,4229,Samuel Lee,EEE,Male,4.14,Team 8
G-19,5668,Aarav Reddy,CEE,Male,4.15,Team 8
G-19,1895,Rohan Shah,CEE,Male,4,Team 9
G-19,320,Nikhil Reddy,CoB (NBS),Male,04.01,Team 9
G-19,5163,Gabriel Scott,SPMS,Male,4.1,Team 9
G-19,5227,Qi Zhang,LKCMedicine,Female,04.02,Team 9
G-19,4156,Olivia Fernandez,EEE,Female,4.25,Team 9
G-19,506,Matthew Clark,CCDS,Male,3.9,Team 10
G-19,880,Lance Alvarado,NIE,Male,4.16,Team 10
G-19,510,Owais Khan,EEE,Male,04.09,Team 10
G-19,1200,Vanya Nair,MAE,Female,4.12,Team 10
G-19,5946,Ping Zhang,SoH,Female,4.11,Team 10
G-2,2547,Lila Zhao,CCDS,Female,04.01,Team 1
G-2,3501,Derek Adams,SoH,Male,04.05,Team 1
G-2,229,Lana Turner,CoB (NBS),Female,4.17,Team 1
G-2,5996,Fatima Yusof,MAE,Female,4.19,Team 1
G-2,4624,Tina Tan,EEE,Female,04.03,Team 1
G-2,3523,Haroon Ali,WKW SCI,Male,3.95,Team 2
G-2,4851,Fatima Rani,SSS,Female,04.09,Team 2
G-2,4558,Shirley Tan,MAE,Female,04.06,Team 2
G-2,3636,Nadia Iqbal,CCEB,Female,4.16,Team 2
G-2,5371,Lina Binti Ali,SBS,Female,4.19,Team 2
G-2,4123,Nguyen Thi Phuong,NIE,Female,04.03,Team 3
G-2,764,Ahmad Ramlie,CEE,Male,04.02,Team 3
G-2,4738,Hanafi Bin Mohd,SSS,Female,04.05,Team 3
G-2,1428,Selena Tan,MAE,Female,4.17,Team 3
G-2,1877,Zhengrong,CCDS,Male,4.2,Team 3
G-2,5802,Addison Chen,CEE,Female,04.03,Team 4
G-2,1455,Sophia Koh,ADM,Female,4.15,Team 4
G-2,1814,Mingjing,CCEB,Female,04.05,Team 4
G-2,3026,David Ho,NIE,Male,4,Team 4
G-2,4392,Nathaniel Adams,EEE,Male,4.2,Team 4
G-2,1765,Aadhya Sharma,CCDS,Female,04.01,Team 5
G-2,2473,Jasper Lim,SPMS,Male,4.12,Team 5
G-2,2611,Yang Zhang,CoB (NBS),Male,04.07,Team 5
G-2,3568,Tanya Sharma,ASE,Female,04.03,Team 5
G-2,3615,Shalini Pillai,MSE,Female,4.22,Team 5
G-2,5073,Quinn Lee,SoH,Male,04.01,Team 6
G-2,3882,Yoshiko Mori,CCEB,Female,04.03,Team 6
G-2,2052,Layla Collins,EEE,Female,04.05,Team 6
G-2,3533,Izzat Bin Ibrahim,CEE,Male,4.15,Team 6
G-2,3611,Sofia Chandra,CCDS,Female,4.22,Team 6
G-2,5750,Chunhua,WKW SCI,Female,3.9,Team 7
G-2,4006,Ali Abubakar,CEE,Male,4.12,Team 7
G-2,460,Brianna Johnson,CCDS,Female,4.1,Team 7
G-2,2788,Carter Moore,MSE,Male,4.17,Team 7
G-2,2712,Mei Zhao,SBS,Female,4.12,Team 7
G-2,1965,Stella Bryant,SBS,Female,3.88,Team 8
G-2,4759,Xiu Li,CCEB,Female,04.03,Team 8
G-2,586,Isaiah Turner,EEE,Male,4.18,Team 8
G-2,5080,Mira Lin,CoB (NBS),Female,4.15,Team 8
G-2,3527,Eli Walker,WKW SCI,Male,4.19,Team 8
G-2,3212,Priya Gupta,CoB (NBS),Female,04.07,Team 9
G-2,248,Winston Villanueva,SSS,Male,04.03,Team 9
G-2,5994,Zain Qureshi,MSE,Female,4.11,Team 9
G-2,1130,Yuri Chekhov,CCDS,Male,04.03,Team 9
